k,time,m,m_std,abs_m,abs_m_std,a,a_std,wall_density,wall_density_std
0.17,0.048828840255737305,-0.007031250000000001,0.013176308296977945,0.04435763888888889,0.0077962851428801695,0.3650173611111111,0.005293255116006596,0.8221354166666667,0.0037403496128992682
0.17254237288135593,0.044603824615478516,0.012499999999999999,0.01635449840427873,0.05399305555555556,0.010255510595368417,0.3605034722222222,0.003357743123639753,0.8208333333333333,0.0033582051181553193
0.17508474576271188,0.04460406303405762,-0.030642361111111113,0.01580378661277005,0.06050347222222222,0.009468829841525568,0.36788194444444444,0.00495874431607644,0.8181423611111112,0.0041270112185612
0.1776271186440678,0.04383373260498047,-0.006510416666666667,0.01806661153224214,0.06605902777777779,0.00849716929542335,0.3837239583333333,0.004596079681647513,0.8130208333333333,0.004939847651730157
0.18016949152542366,0.04395556449890137,-0.013194444444444446,0.018832463600813417,0.0701388888888889,0.00869035394703599,0.38125000000000003,0.006222173040571416,0.8092881944444446,0.005630447137625013
0.18271186440677967,0.05240964889526367,-0.035937500000000004,0.020251526762019956,0.07413194444444443,0.012760399298596514,0.3921440972222222,0.005554687831157482,0.8062065972222223,0.004672784731256574
0.1852542372881356,0.05487394332885742,-0.011631944444444445,0.020112460120682095,0.06631944444444446,0.012399528705325761,0.39379340277777775,0.007612186938037707,0.8057291666666666,0.006037677224086665
0.1877966101694916,0.043648481369018555,-0.01284722222222222,0.02023164350852196,0.07378472222222222,0.009938918361576149,0.4036024305555555,0.006735431016578468,0.7909288194444445,0.006675343238182686
0.19033898305084745,0.04346323013305664,0.029427083333333333,0.02263229097148708,0.07144097222222222,0.01621526301678101,0.4071180555555555,0.006369457130900859,0.7921874999999999,0.0044004207199147315
0.1928813559322034,0.0469670295715332,0.006336805555555557,0.015503753547206383,0.04713541666666667,0.010584772523053464,0.4222222222222222,0.006468375972385522,0.7850694444444445,0.005149750530577937
0.19542372881355927,0.05017852783203125,-0.010243055555555552,0.02028232039614253,0.07309027777777777,0.010163557542287828,0.4212239583333333,0.005978667189162002,0.7863281249999999,0.0051004646250954935
0.19796610169491527,0.04450416564941406,-0.02074652777777778,0.017620622219882143,0.05963541666666667,0.011251935937731505,0.4447048611111112,0.005581584119181807,0.7657986111111111,0.005025734314628519
0.2005084745762712,0.04412055015563965,0.014062499999999997,0.021741466261223242,0.0753472222222222,0.012262575892526455,0.45039062500000004,0.00647639702344837,0.7591145833333333,0.0056545243458687895
