step,tot_E,a,m,acceptance,wall_density
0.0,-758.0570068359375,1.0,1.0,2e-05,0.0
50000.0,-471.8695373535156,0.612,0.732,0.24068,0.573
100000.0,-534.0938720703125,0.6946666666666667,0.808,0.23016,0.467
150000.0,-453.94232177734375,0.5866666666666667,0.726,0.22922,0.602
200000.0,-513.5277099609375,0.6666666666666666,0.79,0.2298,0.509
250000.0,-525.38671875,0.684,0.788,0.22434,0.478
300000.0,-509.83624267578125,0.6613333333333333,0.79,0.22142,0.508
350000.0,-423.35455322265625,0.5466666666666666,0.682,0.23596,0.629
400000.0,-463.9566650390625,0.6013333333333334,0.724,0.23038,0.581
450000.0,-496.1228332519531,0.644,0.764,0.22876,0.525
500000.0,-457.36370849609375,0.592,0.722,0.2357,0.584
550000.0,-453.5401916503906,0.5866666666666667,0.72,0.24126,0.595
600000.0,-498.48944091796875,0.648,0.758,0.24178,0.504
650000.0,-483.98809814453125,0.628,0.748,0.23178,0.527
700000.0,-474.62774658203125,0.616,0.732,0.23656,0.55
750000.0,-475.6875305175781,0.616,0.748,0.23796,0.557
800000.0,-502.3112487792969,0.6533333333333333,0.76,0.2442,0.525
850000.0,-466.5936584472656,0.6026666666666667,0.75,0.23734,0.571
900000.0,-525.6455078125,0.684,0.792,0.23906,0.478
950000.0,-468.5688781738281,0.6053333333333333,0.752,0.24612,0.586
1000000.0,-486.36700439453125,0.6293333333333333,0.77,0.23402,0.554
1050000.0,-452.2179260253906,0.5853333333333334,0.714,0.23492,0.602
1100000.0,-476.87274169921875,0.6173333333333333,0.752,0.23258,0.552
1150000.0,-421.9027099609375,0.5426666666666666,0.702,0.23722,0.644
1200000.0,-526.306396484375,0.684,0.802,0.23456,0.475
1250000.0,-511.1490783691406,0.6626666666666666,0.796,0.2367,0.499
1300000.0,-529.9990844726562,0.688,0.816,0.23096,0.475
1350000.0,-544.22900390625,0.7093333333333334,0.808,0.23052,0.434
1400000.0,-510.879638671875,0.664,0.778,0.2349,0.496
1450000.0,-502.0470886230469,0.652,0.77,0.2436,0.521
1500000.0,-473.435791015625,0.6146666666666667,0.728,0.2317,0.557
1550000.0,-472.6490173339844,0.612,0.744,0.23,0.575
1600000.0,-454.9852600097656,0.588,0.728,0.23652,0.59
1650000.0,-499.15008544921875,0.6466666666666666,0.782,0.23566,0.534
1700000.0,-450.5068664550781,0.5813333333333334,0.73,0.21768,0.616
1750000.0,-495.32733154296875,0.6413333333333333,0.78,0.23234,0.528
1800000.0,-504.0268859863281,0.6533333333333333,0.786,0.22838,0.523
1850000.0,-494.664306640625,0.6413333333333333,0.77,0.23288,0.522
1900000.0,-484.9098815917969,0.628,0.762,0.232,0.529
1950000.0,-486.75457763671875,0.6306666666666667,0.762,0.23,0.539
2000000.0,-484.24310302734375,0.6293333333333333,0.738,0.22996,0.538
2050000.0,-528.2780151367188,0.6866666666666666,0.804,0.23778,0.487
2100000.0,-494.2698669433594,0.64,0.778,0.2297,0.513
2150000.0,-470.939208984375,0.608,0.76,0.2345,0.563
2200000.0,-457.61053466796875,0.5946666666666667,0.698,0.23826,0.581
2250000.0,-477.918701171875,0.6186666666666667,0.754,0.22116,0.558
2300000.0,-440.2174377441406,0.568,0.714,0.23412,0.611
2350000.0,-453.92718505859375,0.5866666666666667,0.726,0.25976,0.597
2400000.0,-487.2790222167969,0.632,0.756,0.23794,0.541
2450000.0,-461.57275390625,0.5973333333333334,0.73,0.23166,0.567
2500000.0,-476.7341003417969,0.6173333333333333,0.75,0.23448,0.558
2550000.0,-548.4443969726562,0.7146666666666667,0.816,0.22638,0.431
2600000.0,-474.7551574707031,0.6146666666666667,0.748,0.23652,0.571
2650000.0,-533.287109375,0.6933333333333334,0.81,0.2367,0.464
2700000.0,-511.0107727050781,0.6626666666666666,0.794,0.24412,0.489
2750000.0,-523.0035400390625,0.68,0.794,0.23644,0.494
2800000.0,-464.7337951660156,0.6026666666666667,0.722,0.232,0.578
2850000.0,-444.56298828125,0.576,0.696,0.23906,0.606
2900000.0,-467.1117858886719,0.604,0.744,0.2316,0.558
2950000.0,-511.1347351074219,0.6653333333333333,0.768,0.23804,0.474
3000000.0,-539.6168823242188,0.7013333333333334,0.822,0.21894,0.448
3050000.0,-460.12506103515625,0.5946666666666667,0.736,0.23462,0.578
3100000.0,-489.38543701171875,0.636,0.746,0.22462,0.538
3150000.0,-516.0189819335938,0.6706666666666666,0.786,0.23192,0.496
3200000.0,-473.043701171875,0.6133333333333333,0.736,0.24154,0.55
3250000.0,-500.46630859375,0.6493333333333333,0.774,0.22898,0.524
3300000.0,-482.9343566894531,0.6253333333333333,0.76,0.23054,0.545
3350000.0,-521.5595703125,0.6773333333333333,0.8,0.22392,0.474
3400000.0,-509.2979736328125,0.6613333333333333,0.782,0.23834,0.498
3450000.0,-489.133056640625,0.6333333333333333,0.77,0.22032,0.546
3500000.0,-490.7137756347656,0.636,0.766,0.22976,0.545
3550000.0,-532.6373901367188,0.692,0.814,0.24308,0.463
3600000.0,-459.3419189453125,0.5933333333333334,0.738,0.2394,0.575
3650000.0,-485.8336181640625,0.6306666666666667,0.748,0.2297,0.529
3700000.0,-459.9952697753906,0.596,0.72,0.22664,0.575
3750000.0,-514.3134765625,0.6666666666666666,0.802,0.2417,0.486
3800000.0,-456.29534912109375,0.5933333333333334,0.692,0.24858,0.589
3850000.0,-481.3519287109375,0.624,0.75,0.2299,0.541
3900000.0,-478.5854797363281,0.62,0.75,0.23964,0.549
