step,tot_E,a,m,acceptance,wall_density
0.0,-726.0185546875,1.0,1.0,2e-05,0.0
50000.0,-414.90008544921875,0.5653333333333334,0.696,0.28656,0.619
100000.0,-469.7362060546875,0.6413333333333333,0.762,0.28174,0.545
150000.0,-352.9566345214844,0.48133333333333334,0.584,0.29158,0.707
200000.0,-425.48931884765625,0.5786666666666667,0.736,0.27572,0.602
250000.0,-409.4311828613281,0.5573333333333333,0.698,0.2843,0.622
300000.0,-355.89434814453125,0.484,0.616,0.26742,0.697
350000.0,-457.4709167480469,0.624,0.754,0.26974,0.558
400000.0,-410.2541809082031,0.56,0.668,0.28386,0.615
450000.0,-457.84619140625,0.6253333333333333,0.738,0.27898,0.541
500000.0,-391.28985595703125,0.532,0.68,0.27438,0.653
550000.0,-482.9921875,0.66,0.772,0.26888,0.489
600000.0,-394.94671630859375,0.5386666666666666,0.652,0.28864,0.641
650000.0,-454.63299560546875,0.62,0.752,0.29272,0.552
700000.0,-464.6427001953125,0.6346666666666667,0.748,0.2832,0.519
750000.0,-414.65802001953125,0.5666666666666667,0.662,0.28418,0.611
800000.0,-464.335205078125,0.6333333333333333,0.766,0.29528,0.548
850000.0,-386.2657775878906,0.5253333333333333,0.668,0.28714,0.635
900000.0,-439.3267517089844,0.5986666666666667,0.736,0.28008,0.579
950000.0,-457.40185546875,0.624,0.752,0.2926,0.568
1000000.0,-441.99224853515625,0.604,0.706,0.26322,0.56
1050000.0,-448.8930969238281,0.612,0.746,0.29972,0.575
1100000.0,-435.9447021484375,0.5946666666666667,0.718,0.28644,0.599
1150000.0,-405.7772521972656,0.5533333333333333,0.672,0.27774,0.614
1200000.0,-422.6213073730469,0.576,0.706,0.26902,0.605
1250000.0,-447.0492858886719,0.6093333333333333,0.746,0.28624,0.551
1300000.0,-448.6218566894531,0.612,0.738,0.28044,0.561
1350000.0,-435.7762756347656,0.5933333333333334,0.74,0.2769,0.565
1400000.0,-385.14422607421875,0.524,0.662,0.26762,0.675
1450000.0,-455.8340148925781,0.6213333333333333,0.76,0.28522,0.568
1500000.0,-436.9418640136719,0.596,0.72,0.27312,0.58
1550000.0,-423.9947814941406,0.5786666666666667,0.692,0.29256,0.592
1600000.0,-459.2545166015625,0.6266666666666667,0.752,0.27292,0.533
1650000.0,-388.4268493652344,0.5293333333333333,0.65,0.27474,0.654
1700000.0,-436.4665832519531,0.596,0.706,0.2862,0.59
1750000.0,-418.3583984375,0.5693333333333334,0.716,0.29818,0.601
1800000.0,-409.6451416015625,0.5573333333333333,0.704,0.28464,0.622
1850000.0,-392.0866394042969,0.536,0.622,0.29146,0.67
1900000.0,-435.5782470703125,0.5933333333333334,0.734,0.26188,0.586
1950000.0,-463.93701171875,0.6333333333333333,0.754,0.26988,0.535
2000000.0,-427.65228271484375,0.5826666666666667,0.718,0.27348,0.579
2050000.0,-373.6361083984375,0.5093333333333333,0.622,0.27932,0.67
2100000.0,-397.10736083984375,0.54,0.688,0.27302,0.633
2150000.0,-375.4484558105469,0.5133333333333333,0.594,0.29578,0.668
2200000.0,-389.9001770019531,0.5306666666666666,0.666,0.2976,0.644
2250000.0,-424.9211730957031,0.58,0.692,0.27002,0.6
2300000.0,-437.218994140625,0.596,0.728,0.28624,0.581
2350000.0,-366.22271728515625,0.5,0.594,0.27858,0.68
