k,h,time,m,m_std,a,a_std,wall_density,wall_density_std
0.2293,0,12.4677629470825,-0.030837673611111,0.154553140844347,0.780034722222222,0.003800116701029,0.276551649305556,0.004792529100163
0.2293,2.002002002002E-05,12.584052324295,0.065885416666667,0.181433477553665,0.786436631944444,0.003611865456312,0.267643229166667,0.004656601338485
0.2293,0.00042042042042,13.08141040802,0.279231770833333,0.164246118196884,0.787348090277778,0.003778700214715,0.267632378472222,0.004715548253637
0.2293,0.000820820820821,13.5246868133545,-0.165364583333333,0.169256919323498,0.789626736111111,0.003119125884619,0.264040798611111,0.003897236360946
0.2293,0.001221221221221,13.4610066413879,0.276150173611111,0.168530545833724,0.78828125,0.00381153032476,0.265223524305555,0.004629549927534
0.2293,0.001621621621622,13.6716265678406,0.604361979166667,0.097994482942713,0.795269097222222,0.003956464534738,0.257335069444444,0.004939928967918
0.2293,0.002002002002002,12.8615469932556,0.108029513888889,0.169034122356961,0.792252604166667,0.005034460852362,0.259787326388889,0.006393303436793
0.2293,0.002022022022022,13.0351305007935,0.193880208333333,0.179907248985315,0.785481770833333,0.003380441822222,0.269173177083333,0.004297665519324
0.2293,0.002422422422422,13.3420913219452,0.712868923611111,0.09085757042352,0.790668402777778,0.003333597941482,0.262738715277778,0.004276883978643
0.2293,0.002822822822823,13.2277865409851,0.540169270833333,0.127310027520756,0.786197916666666,0.004288046113739,0.268489583333333,0.005663292114332
0.2293,0.003223223223223,13.4516835212708,0.476844618055556,0.140117070896867,0.7767578125,0.004446554867199,0.2796875,0.00581182194647
0.2293,0.003623623623624,13.3936386108398,0.023524305555556,0.18222531003934,0.781380208333333,0.004146031162144,0.274424913194444,0.005113145572396
0.2293,0.004004004004004,13.4340605735779,0.594357638888889,0.108280884819876,0.789084201388889,0.003978908635448,0.262858072916667,0.005017600652197
0.2293,0.004024024024024,13.4295470714569,0.647439236111111,0.106750708094695,0.791558159722222,0.003007939968321,0.260308159722222,0.003703793875733
0.2293,0.004424424424424,13.4188890457153,0.676302083333333,0.073354796670251,0.795768229166667,0.00454263333256,0.255924479166667,0.00579078436637
0.2293,0.004824824824825,13.4452250003815,0.522721354166667,0.129425523913863,0.797048611111111,0.004255269436572,0.253472222222222,0.005473502079471
0.2293,0.005225225225225,13.3187534809113,0.499913194444444,0.146698572137894,0.790451388888889,0.004367231462301,0.263726128472222,0.005785244865744
0.2293,0.005625625625626,13.4230051040649,0.751540798611111,0.04972135877018,0.795529513888889,0.00428097248324,0.257302517361111,0.005416046587839
0.2293,0.006006006006006,13.3433763980865,0.676866319444444,0.085799797971063,0.796831597222222,0.005100649291313,0.254286024305556,0.006378380626158
0.2293,0.006026026026026,13.6211223602295,0.732248263888889,0.060151518465365,0.800846354166667,0.004093043303971,0.249587673611111,0.005305276206313
0.2293,0.006426426426426,13.2863564491272,0.776345486111111,0.037850612546401,0.798285590277778,0.003537138425276,0.253960503472222,0.004577075556884
0.2293,0.006826826826827,13.2495892047882,0.713823784722222,0.066973791373375,0.7953125,0.004037199489198,0.257921006944444,0.005240361422581
0.2293,0.007227227227227,13.2411949634552,0.8349609375,0.006287723959877,0.8013671875,0.004712353476947,0.248828125,0.005870300611776
0.2293,0.007627627627628,13.1007721424103,0.787456597222222,0.027159173824707,0.79375,0.004785827044236,0.258452690972222,0.005754586317428
0.2293,0.008008008008008,13.5038213729858,0.835199652777778,0.004937211160375,0.798806423611111,0.003659276933937,0.251996527777778,0.004513272051046
0.2293,0.008028028028028,13.1556899547577,0.829861111111111,0.005630240485197,0.793120659722222,0.003461758673631,0.259049479166667,0.004685850829854
0.2293,0.008428428428428,13.2295997142792,0.82890625,0.006016082551991,0.7935546875,0.003240507552599,0.257845052083333,0.004150816746315
0.2293,0.008828828828829,13.2465896606445,0.756684027777778,0.084929564551691,0.802365451388889,0.00439661972911,0.24697265625,0.005353122322071
0.2293,0.009229229229229,13.1244230270386,0.847026909722222,0.00417779835895,0.805360243055556,0.002339449510527,0.243283420138889,0.002892350370352
0.2293,0.00962962962963,13.2784214019775,0.781879340277778,0.03319381445791,0.79921875,0.004109791047616,0.251421440972222,0.004997349592746
0.2293,0.01001001001001,13.1793670654297,0.842209201388889,0.007121551594058,0.800889756944444,0.005108553798145,0.248524305555556,0.006590201648279
0.2293,0.01003003003003,13.5934789180756,0.829557291666667,0.015112978909639,0.801150173611111,0.004470179356226,0.249381510416667,0.005739628832048
0.2293,0.010430430430431,13.3686923980713,0.819466145833333,0.023158793808474,0.803580729166667,0.003887343184087,0.24599609375,0.00484537450069
0.2293,0.010830830830831,13.7255842685699,0.811935763888889,0.023367807736179,0.801280381944444,0.003237514035199,0.249641927083333,0.003942787973709
0.2293,0.011231231231231,13.2416424751282,0.855251736111111,0.004602608874562,0.810264756944444,0.00443122706021,0.237424045138889,0.005482458920561
0.2293,0.011631631631632,13.1339056491852,0.818901909722222,0.030955486082035,0.808485243055556,0.004258032149815,0.239073350694444,0.005128725639031
0.2293,0.012012012012012,13.4376239776611,0.850759548611111,0.00420508201421,0.804904513888889,0.003362096549418,0.243641493055555,0.004409737676519
0.2293,0.012032032032032,13.1379127502441,0.834722222222222,0.019174095824973,0.811675347222222,0.003122907171851,0.236328125,0.003846853623134
0.2293,0.012432432432433,13.2807037830353,0.847309027777778,0.004828655843975,0.807877604166667,0.003084405256857,0.240353732638889,0.004054243698201
0.2293,0.012832832832833,13.3224999904633,0.8240234375,0.025246382208086,0.808333333333333,0.003423644694888,0.240603298611111,0.00451441359503
0.2293,0.013233233233233,13.2788100242615,0.851909722222222,0.004517385778626,0.810980902777778,0.002909300472402,0.236924913194444,0.003700861640331
0.2293,0.013633633633634,13.1686010360718,0.773350694444444,0.048744204389971,0.806032986111111,0.004329387890761,0.242599826388889,0.005544519370714
0.2293,0.014014014014014,13.1839847564697,0.851388888888889,0.0033589804661,0.812109375,0.002555652578625,0.235546875,0.003188071456228
0.2293,0.014034034034034,13.4002957344055,0.855989583333333,0.003799475124395,0.812109375,0.002945093277,0.234711371527778,0.003570332414843
0.2293,0.014434434434435,13.4198839664459,0.851345486111111,0.004454730727744,0.810546875,0.003541908827866,0.237630208333333,0.004484215850692
0.2293,0.014834834834835,12.9886865615845,0.851584201388889,0.005211249970557,0.809201388888889,0.003809727385205,0.238172743055556,0.004647791193024
0.2293,0.015235235235235,13.0188648700714,0.857595486111111,0.004688268232406,0.8119140625,0.004245770113458,0.234711371527778,0.00516634435826
0.2293,0.015635635635636,13.3791947364807,0.856293402777778,0.005915182968058,0.815342881944444,0.00466348242974,0.231282552083333,0.005991669508615
0.2293,0.016016016016016,13.0509622097015,0.851041666666667,0.005880612383867,0.808962673611111,0.00402377239169,0.238639322916667,0.005228644764051
0.2293,0.016036036036036,13.1967248916626,0.849045138888889,0.004628860974964,0.804296875,0.00339747334616,0.244162326388889,0.004387167568988
0.2293,0.016436436436437,13.1608555316925,0.853233506944444,0.005262699325199,0.812760416666666,0.003377453398244,0.233810763888889,0.004396421244156
0.2293,0.016836836836837,13.507673740387,0.862391493055556,0.005015661661529,0.816449652777778,0.004098843014866,0.229275173611111,0.005292666299481
0.2293,0.017237237237237,13.3338568210602,0.864409722222222,0.003332849937078,0.81796875,0.003165901146667,0.227018229166667,0.003909886481348
0.2293,0.017637637637638,13.3405721187592,0.851692708333333,0.010540821459301,0.815364583333333,0.003448171659163,0.230457899305556,0.004344151183439
0.2293,0.018018018018018,13.1484467983246,0.852799479166667,0.002532770137955,0.812109375,0.002415830600391,0.234624565972222,0.00294042513967
0.2293,0.018038038038038,13.4662499427795,0.856336805555555,0.005162612932258,0.812152777777778,0.00352297718776,0.234060329861111,0.004516380700137
0.2293,0.018438438438439,13.1923451423645,0.856575520833333,0.004513229084075,0.810872395833333,0.00399239294219,0.235427517361111,0.004951496576675
0.2293,0.018838838838839,13.2077550888062,0.862326388888889,0.004502163748124,0.8158203125,0.003523169838427,0.229427083333333,0.004460271317999
0.2293,0.019239239239239,13.2760605812073,0.864236111111111,0.005165381083772,0.818402777777778,0.003628543684015,0.227235243055556,0.004774462220766
0.2293,0.01963963963964,13.5251474380493,0.867990451388889,0.003877096095863,0.820073784722222,0.004266027082031,0.22431640625,0.005387108014955
0.2293,0.02002002002002,13.0804710388184,0.864214409722222,0.003617153875083,0.820421006944444,0.003077697674519,0.224186197916667,0.0039001576904
0.2293,0.022022022022022,13.1911010742188,0.864778645833333,0.003265035717171,0.818120659722222,0.002359048249499,0.22744140625,0.00294599263422
0.2293,0.024024024024024,13.2941651344299,0.877604166666667,0.002236847465393,0.830078125,0.002179259835906,0.211827256944444,0.002680652510594
0.2293,0.026026026026026,13.127982378006,0.867078993055556,0.00403408640624,0.819683159722222,0.003563543441127,0.224598524305556,0.004512137125373
0.2293,0.028028028028028,13.2154271602631,0.873589409722222,0.003750752410721,0.825954861111111,0.003743577460901,0.2177734375,0.004642659387019
0.2293,0.03003003003003,13.0933935642242,0.864822048611111,0.004193444730972,0.8169921875,0.00369221228113,0.227745225694444,0.004606739794992
0.2293,0.032032032032032,13.0657949447632,0.873177083333333,0.002729812077554,0.82578125,0.002766284978119,0.216786024305556,0.003287465490369
0.2293,0.034034034034034,12.9764966964722,0.877973090277778,0.00313950926165,0.831076388888889,0.003247113437179,0.211317274305556,0.003873962515107
0.2293,0.036036036036036,13.1468272209167,0.881336805555556,0.003052930242402,0.834982638888889,0.002971426567146,0.206694878472222,0.003641721161762
0.2293,0.038038038038038,13.5746254920959,0.877734375,0.002023349470194,0.830316840277778,0.002087909269002,0.211805555555556,0.002581338662366
0.2293,0.04004004004004,13.1982793807983,0.883485243055556,0.002910485745571,0.833138020833333,0.003207252454422,0.208311631944444,0.003821532777276
0.2293,0.042042042042042,13.1069400310516,0.886979166666667,0.002051495387058,0.838454861111111,0.00251141150939,0.202007378472222,0.002944958055763
0.2293,0.044044044044044,13.2108175754547,0.884613715277778,0.00203713788338,0.8373046875,0.001971484886683,0.203211805555556,0.00231911187682
0.2293,0.046046046046046,13.6033048629761,0.8908203125,0.002227073062378,0.841861979166667,0.002257097870995,0.197341579861111,0.002615637024695
0.2293,0.048048048048048,13.7365095615387,0.890256076388889,0.002960708961749,0.840321180555555,0.003150198959138,0.198665364583333,0.003872893283338
0.2293,0.05005005005005,12.6422514915466,0.8923828125,0.002836462701642,0.841471354166667,0.003330359534864,0.197157118055556,0.004322481258382
0.2293,0.052052052052052,12.3147461414337,0.895768229166667,0.00355935857626,0.844097222222222,0.003396869897441,0.193804253472222,0.004380169420578
0.2293,0.054054054054054,12.2936599254608,0.895247395833333,0.002369617011044,0.846571180555556,0.00280771516272,0.191829427083333,0.003360700645804
0.2293,0.056056056056056,12.3404886722565,0.896397569444444,0.003250387906907,0.8470703125,0.003378818808726,0.18984375,0.004218286633352
0.2293,0.058058058058058,12.5236306190491,0.8958984375,0.00352331137098,0.84609375,0.004050147762172,0.190993923611111,0.004921033236532
0.2293,0.06006006006006,13.4654290676117,0.900607638888889,0.003227860338455,0.851649305555556,0.003656561863092,0.184754774305556,0.004459501858101
0.2293,0.062062062062062,13.5013167858124,0.903428819444444,0.002050657981326,0.855143229166666,0.002807483285072,0.180870225694444,0.003398627958547
