k,time,m,m_std,a,a_std,wall_density,wall_density_std
0.1275,11.6637260913849,-8.68055555555558E-05,0.006459633089658,0.281184895833333,0.002560574562695,0.804275173611111,0.002002720552538
0.131729229229229,12.3567495346069,0.001605902777778,0.006587994357881,0.296354166666667,0.002507790786587,0.794010416666667,0.001887888771581
0.135958458458458,12.2073330879211,0.003862847222222,0.006294195070705,0.310503472222222,0.001996777522388,0.783289930555556,0.00177897672179
0.140187687687688,12.2865519523621,0.001432291666667,0.00807446073548,0.322200520833333,0.002820065806974,0.773459201388889,0.002571015288009
0.144416916916917,12.1756007671356,0.001128472222222,0.007025921132853,0.335959201388889,0.003357384209029,0.763834635416667,0.003043238338035
0.148646146146146,13.3770885467529,-0.000455729166667,0.009510099068297,0.345355902777778,0.003625243979571,0.755783420138889,0.002866373090453
0.152875375375375,12.3644890785217,-0.003645833333333,0.00724625323126,0.358441840277778,0.003520605541953,0.744780815972222,0.003213729511259
0.157104604604605,12.9779970645905,-0.001627604166667,0.009753119546122,0.372026909722222,0.002669250076305,0.732552083333333,0.003003313017913
0.161333833833834,13.1386826038361,0.0048828125,0.010130797532043,0.390451388888889,0.003071926998973,0.716069878472222,0.00265887340657
0.165563063063063,12.3014273643494,-0.000824652777778,0.014536306219585,0.407508680555556,0.003436373483672,0.7013671875,0.00333496054033
0.169792292292292,11.9731049537659,-0.002365451388889,0.010814555064135,0.420442708333333,0.002837824833034,0.688302951388889,0.002554280966212
0.174021521521522,12.2018177509308,-0.0083984375,0.009148617414704,0.438736979166667,0.003564958026875,0.672037760416667,0.003986776259729
0.178250750750751,11.9445908069611,-0.028081597222222,0.016996930297722,0.451345486111111,0.003509694273345,0.660264756944444,0.003929262986072
0.18247997997998,12.0769305229187,0.012717013888889,0.015177880095996,0.474978298611111,0.002668004359071,0.634147135416667,0.003063733269177
0.186709209209209,12.5934343338013,0.018381076388889,0.017935486454404,0.488433159722222,0.003072075794088,0.62197265625,0.003333810884263
0.190938438438438,12.1808919906616,-0.022374131944445,0.017106591002206,0.507530381944445,0.003674281402798,0.603862847222222,0.003776192062073
0.195167667667668,12.2573292255402,0.014496527777778,0.027000554158532,0.533615451388889,0.004021789074097,0.57001953125,0.004563722320881
0.199396896896897,11.9197716712952,-0.016840277777778,0.026170882107165,0.5607421875,0.004044387817425,0.542719184027778,0.005113056174824
0.2,12.7484939098358,-0.011306423611111,0.02633388575369,0.563324652777778,0.003915543592315,0.539496527777778,0.00452992471068
0.201020408163265,13.0818955898285,0.026019965277778,0.028366387414385,0.576345486111111,0.004043521233956,0.522189670138889,0.004421959297006
0.202040816326531,12.6481018066406,-0.0470703125,0.029208920429946,0.582855902777778,0.003795521204634,0.518717447916667,0.004181964690373
0.203061224489796,12.9255530834198,-0.028949652777778,0.03244562691962,0.586046006944444,0.005410797995657,0.513042534722222,0.006052186496628
0.203626126126126,12.5348455905914,-0.007595486111111,0.034192129391391,0.590993923611111,0.004784000410857,0.507118055555555,0.005794469245367
0.204081632653061,12.6971437931061,0.026931423611111,0.030685117932188,0.596614583333333,0.004396679587893,0.501453993055555,0.005366843986398
0.205102040816327,13.1636297702789,0.021440972222222,0.035352685832493,0.597699652777778,0.004170720407726,0.499338107638889,0.005275497048708
0.206122448979592,11.9584193229675,-0.004578993055556,0.030484846763808,0.608637152777778,0.005044715632113,0.485536024305556,0.006198576205939
0.207142857142857,11.9632484912872,-0.014236111111111,0.031096311694717,0.616710069444444,0.004179160806146,0.4748046875,0.00538812034056
0.207855355355355,12.2072155475616,0.036328125,0.037186492690057,0.628450520833333,0.004390919959986,0.463910590277778,0.004827597214784
0.208163265306122,12.5696682929993,-0.035611979166667,0.03944357181972,0.619835069444445,0.004486667799599,0.472037760416667,0.005221152890921
0.209183673469388,12.668333530426,-0.004947916666667,0.03979563748185,0.639518229166667,0.004370316421392,0.449327256944444,0.005674951637332
0.210204081632653,12.5060744285584,0.102256944444444,0.062229067357344,0.649522569444444,0.00461152035869,0.437055121527778,0.00578073947634
0.211224489795918,12.8450689315796,0.020833333333333,0.065812885728601,0.649240451388889,0.003958302119267,0.4390625,0.004874558996702
0.212084584584585,12.0889046192169,-0.075651041666667,0.047459695077911,0.6560546875,0.004909292983065,0.430295138888889,0.006119585694658
0.212244897959184,12.4332485198975,0.014561631944445,0.056807982952528,0.655685763888889,0.005875541272468,0.432204861111111,0.007138371615011
0.213265306122449,12.5333213806152,0.111697048611111,0.052052442511126,0.674001736111111,0.00610030453499,0.406618923611111,0.007234388166827
0.214285714285714,12.2054216861725,0.101063368055556,0.06077413440884,0.676844618055556,0.004087381086102,0.403287760416667,0.005143162510815
0.21530612244898,12.407054901123,0.139778645833333,0.069158352019348,0.686197916666667,0.00404953211656,0.392046440972222,0.005088738887124
0.216313813813814,11.989640712738,0.069053819444445,0.077108917635668,0.689561631944444,0.003461278486274,0.388096788194444,0.004439581691617
0.216326530612245,12.2745389938354,-0.09609375,0.078603917855304,0.690733506944444,0.004932150201436,0.386111111111111,0.006045680878722
