k,time,m,m_std,abs_m,abs_m_std,a,a_std,wall_density,wall_density_std
0.07,0.03998279571533203,-0.000944010416666666,0.004655510698258548,0.015388997395833333,0.0027920493471221258,0.16756727430555554,0.0006504653840145689,0.9778238932291666,0.00022447344001819188
0.070707070707071,0.03776097297668457,-0.0056518554687500005,0.003926128222894053,0.014541286892361113,0.00220348192023943,0.17034166124131944,0.000605029179526593,0.9771993001302085,0.0002483317345551295
0.071414141414142,0.0378110408782959,-0.0029635959201388886,0.004249529571490265,0.015376790364583334,0.002160225283785645,0.17497422960069442,0.0006611918322076456,0.9756537543402778,0.0002268605532263664
0.072121212121212,0.0376284122467041,0.0006890190972222224,0.00545170031117322,0.020081922743055557,0.002454872023340644,0.1792534722222222,0.00041955310654215983,0.9741502549913194,0.00026127009495488144
0.072828282828283,0.03898215293884277,-0.0037204318576388885,0.0055682340437845515,0.020153808593750003,0.002815446141659637,0.1840610080295139,0.0009704231336463742,0.9724955240885416,0.00035378683956702905
0.07353535353535401,0.03731489181518555,0.009842936197916667,0.007337550377977843,0.026542154947916667,0.0042542116021946465,0.19053615993923612,0.0007695296304862058,0.9700107150607639,0.0004127386543098855
0.07424242424242401,0.04588913917541504,-0.0031005859375000003,0.005944588546667705,0.018923611111111113,0.003852110471868889,0.19846394856770833,0.0011191468136785817,0.966482883029514,0.0004931910438940684
0.07494949494949499,0.039198875427246094,-0.004873318142361112,0.01036518899493581,0.03558892144097223,0.00585917746534808,0.20981241861979166,0.0016648513974510998,0.9609849717881942,0.0008211694800023988
0.075,0.03731870651245117,-0.002343749999999998,0.015859114189930242,0.050537109375,0.01007965128131332,0.21252712673611113,0.0012275135046709248,0.9600653754340277,0.0005780035866011888
0.07565656565656599,0.040091753005981445,-0.02518853081597222,0.01943267748996724,0.06903076171875,0.01160351936087823,0.23479207356770834,0.001683650009756123,0.9488694932725694,0.0008244855971756641
0.07611111111111099,0.03844451904296875,0.061204698350694434,0.03922383491979126,0.1370022243923611,0.025588442302083847,0.2536465115017361,0.002474963926756526,0.938956027560764,0.0012680750399513608
0.07636363636363601,0.038117408752441406,-0.00018310546875000154,0.060181506738089745,0.22532687717013886,0.0252034845372157,0.26093953450520835,0.002145528438805033,0.9347886827256945,0.0012043473860259926
