step,tot_E,a,m,acceptance,wall_density
0.0,-68.58641052246094,1.0,1.0,0.0003125,0.0
3200.0,-60.229740142822266,0.875,0.9375,0.059375,0.15625
6400.0,-64.40807342529297,0.9375,0.96875,0.0396875,0.078125
9600.0,-60.22970962524414,0.875,0.9375,0.0671875,0.15625
12800.0,-68.58639526367188,1.0,1.0,0.0425,0.0
16000.0,-68.58638763427734,1.0,1.0,0.063125,0.0
19200.0,-64.40802764892578,0.9375,0.96875,0.0415625,0.078125
22400.0,-62.26469421386719,0.90625,0.9375,0.0578125,0.125
25600.0,-64.40799713134766,0.9375,0.96875,0.0509375,0.078125
28800.0,-68.5863265991211,1.0,1.0,0.0534375,0.0
32000.0,-64.40798950195312,0.9375,0.96875,0.0534375,0.078125
35200.0,-68.58631896972656,1.0,1.0,0.0503125,0.0
38400.0,-53.9079704284668,0.78125,0.875,0.04375,0.265625
41600.0,-68.58631134033203,1.0,1.0,0.058125,0.0
44800.0,-49.513004302978516,0.71875,0.78125,0.0453125,0.34375
48000.0,-64.40796661376953,0.9375,0.96875,0.065,0.078125
51200.0,-68.58629608154297,1.0,1.0,0.0546875,0.0
54400.0,-47.36966323852539,0.6875,0.75,0.043125,0.375
57600.0,-56.05126190185547,0.8125,0.90625,0.0940625,0.21875
60800.0,-60.012996673583984,0.875,0.875,0.0615625,0.1875
64000.0,-64.40795135498047,0.9375,0.96875,0.0690625,0.078125
67200.0,-68.5863037109375,1.0,1.0,0.0415625,0.0
70400.0,-49.40468978881836,0.71875,0.75,0.056875,0.375
73600.0,-60.2296028137207,0.875,0.9375,0.061875,0.15625
76800.0,-64.40792846679688,0.9375,0.96875,0.0528125,0.078125
80000.0,-64.40791320800781,0.9375,0.96875,0.051875,0.078125
83200.0,-64.40790557861328,0.9375,0.96875,0.04625,0.078125
86400.0,-58.086238861083984,0.84375,0.90625,0.055,0.203125
89600.0,-64.40789031982422,0.9375,0.96875,0.053125,0.078125
92800.0,-60.22950744628906,0.875,0.9375,0.0815625,0.15625
96000.0,-60.12117004394531,0.875,0.90625,0.0640625,0.15625
99200.0,-64.40780639648438,0.9375,0.96875,0.05,0.078125
102400.0,-64.40780639648438,0.9375,0.96875,0.04125,0.078125
105600.0,-64.40779113769531,0.9375,0.96875,0.06125,0.078125
108800.0,-64.40776824951172,0.9375,0.96875,0.068125,0.078125
112000.0,-68.5860824584961,1.0,1.0,0.0553125,0.0
115200.0,-64.4077377319336,0.9375,0.96875,0.0609375,0.078125
118400.0,-68.58606719970703,1.0,1.0,0.0296875,0.0
121600.0,-68.5860595703125,1.0,1.0,0.03875,0.0
124800.0,-68.58604431152344,1.0,1.0,0.039375,0.0
128000.0,-64.40771484375,0.9375,0.96875,0.0434375,0.078125
131200.0,-64.40770721435547,0.9375,0.96875,0.071875,0.078125
134400.0,-68.5860366821289,1.0,1.0,0.0553125,0.0
137600.0,-68.58602905273438,1.0,1.0,0.063125,0.0
140800.0,-53.907676696777344,0.78125,0.875,0.048125,0.28125
144000.0,-58.086002349853516,0.84375,0.90625,0.0515625,0.203125
147200.0,-64.40765380859375,0.9375,0.96875,0.05625,0.078125
150400.0,-56.05095672607422,0.8125,0.90625,0.056875,0.21875
153600.0,-64.40762329101562,0.9375,0.96875,0.070625,0.078125
156800.0,-68.5859603881836,1.0,1.0,0.0628125,0.0
160000.0,-58.0859375,0.84375,0.90625,0.0503125,0.203125
163200.0,-53.90757369995117,0.78125,0.875,0.0659375,0.28125
166400.0,-68.58590698242188,1.0,1.0,0.03875,0.0
169600.0,-58.08591079711914,0.84375,0.90625,0.0771875,0.203125
172800.0,-64.40758514404297,0.9375,0.96875,0.053125,0.078125
176000.0,-64.4075698852539,0.9375,0.96875,0.0525,0.078125
179200.0,-62.26422882080078,0.90625,0.9375,0.0684375,0.125
182400.0,-64.40753173828125,0.9375,0.96875,0.0453125,0.078125
185600.0,-56.05083465576172,0.8125,0.90625,0.063125,0.21875
188800.0,-64.40750122070312,0.9375,0.96875,0.040625,0.078125
192000.0,-68.5858383178711,1.0,1.0,0.0496875,0.0
195200.0,-68.58583068847656,1.0,1.0,0.048125,0.0
198400.0,-64.40747833251953,0.9375,0.96875,0.0653125,0.078125
201600.0,-57.97747802734375,0.84375,0.875,0.0678125,0.1875
204800.0,-60.2291145324707,0.875,0.9375,0.03375,0.15625
208000.0,-68.58577728271484,1.0,1.0,0.05375,0.0
211200.0,-53.79910659790039,0.78125,0.84375,0.0653125,0.25
214400.0,-51.43914794921875,0.75,0.75,0.0403125,0.359375
217600.0,-64.4073715209961,0.9375,0.96875,0.0384375,0.078125
220800.0,-64.40734100341797,0.9375,0.96875,0.05125,0.078125
224000.0,-60.2289924621582,0.875,0.9375,0.0459375,0.125
227200.0,-62.26400375366211,0.90625,0.9375,0.04375,0.125
230400.0,-53.90730285644531,0.78125,0.875,0.061875,0.265625
233600.0,-68.58564758300781,1.0,1.0,0.0525,0.0
236800.0,-68.58563995361328,1.0,1.0,0.05,0.0
240000.0,-64.40729522705078,0.9375,0.96875,0.0659375,0.078125
243200.0,-68.58563232421875,1.0,1.0,0.0465625,0.0
246400.0,-64.40727996826172,0.9375,0.96875,0.0609375,0.078125
249600.0,-68.58561706542969,1.0,1.0,0.0728125,0.0
252800.0,-64.40725708007812,0.9375,0.96875,0.0709375,0.078125
256000.0,-64.40723419189453,0.9375,0.96875,0.0425,0.078125
259200.0,-68.58555603027344,1.0,1.0,0.0559375,0.0
262400.0,-58.08553695678711,0.84375,0.90625,0.0596875,0.171875
265600.0,-56.05051040649414,0.8125,0.90625,0.05,0.203125
268800.0,-68.58551788330078,1.0,1.0,0.0484375,0.0
272000.0,-68.58551788330078,1.0,1.0,0.054375,0.0
275200.0,-68.58551788330078,1.0,1.0,0.0525,0.0
278400.0,-62.26384735107422,0.90625,0.9375,0.065625,0.125
281600.0,-58.08549118041992,0.84375,0.90625,0.0646875,0.203125
284800.0,-64.40715026855469,0.9375,0.96875,0.048125,0.078125
288000.0,-68.58548736572266,1.0,1.0,0.0484375,0.0
291200.0,-64.40713500976562,0.9375,0.96875,0.0465625,0.078125
294400.0,-58.08548355102539,0.84375,0.90625,0.060625,0.203125
297600.0,-49.512184143066406,0.71875,0.78125,0.055,0.359375
300800.0,-60.1204948425293,0.875,0.90625,0.0375,0.171875
304000.0,-64.40711975097656,0.9375,0.96875,0.07,0.078125
307200.0,-64.4071044921875,0.9375,0.96875,0.076875,0.078125
310400.0,-64.40708923339844,0.9375,0.96875,0.05,0.078125
313600.0,-58.08542251586914,0.84375,0.90625,0.043125,0.203125
316800.0,-64.40709686279297,0.9375,0.96875,0.0525,0.078125
320000.0,-62.26374816894531,0.90625,0.9375,0.0571875,0.125
323200.0,-64.40706634521484,0.9375,0.96875,0.0565625,0.078125
326400.0,-55.7254524230957,0.8125,0.8125,0.0659375,0.265625
329600.0,-58.08534240722656,0.84375,0.90625,0.0884375,0.203125
332800.0,-60.2286376953125,0.875,0.9375,0.0490625,0.15625
336000.0,-58.08530044555664,0.84375,0.90625,0.0478125,0.203125
339200.0,-68.58529663085938,1.0,1.0,0.0684375,0.0
342400.0,-62.263648986816406,0.90625,0.9375,0.04,0.125
345600.0,-68.58528900146484,1.0,1.0,0.071875,0.0
348800.0,-56.050262451171875,0.8125,0.90625,0.0453125,0.234375
352000.0,-64.40692901611328,0.9375,0.96875,0.0525,0.078125
355200.0,-60.22857666015625,0.875,0.9375,0.0603125,0.15625
358400.0,-60.22856521606445,0.875,0.9375,0.0475,0.15625
361600.0,-68.58523559570312,1.0,1.0,0.0625,0.0
364800.0,-60.22854995727539,0.875,0.9375,0.05,0.15625
368000.0,-51.65522384643555,0.75,0.8125,0.06,0.296875
371200.0,-64.40685272216797,0.9375,0.96875,0.0521875,0.078125
374400.0,-64.40684509277344,0.9375,0.96875,0.040625,0.078125
377600.0,-64.40682220458984,0.9375,0.96875,0.035,0.078125
380800.0,-68.58515167236328,1.0,1.0,0.0578125,0.0
384000.0,-64.40680694580078,0.9375,0.96875,0.0453125,0.078125
387200.0,-64.40680694580078,0.9375,0.96875,0.050625,0.078125
390400.0,-68.58514404296875,1.0,1.0,0.0521875,0.0
393600.0,-64.40679931640625,0.9375,0.96875,0.0609375,0.078125
396800.0,-68.58511352539062,1.0,1.0,0.0515625,0.0
400000.0,-68.58512878417969,1.0,1.0,0.055625,0.0
403200.0,-68.5851058959961,1.0,1.0,0.04375,0.0
406400.0,-51.65510940551758,0.75,0.8125,0.044375,0.3125
409600.0,-64.40672302246094,0.9375,0.96875,0.0609375,0.078125
412800.0,-60.22836685180664,0.875,0.9375,0.0590625,0.15625
416000.0,-53.79838180541992,0.78125,0.84375,0.0521875,0.28125
419200.0,-60.228328704833984,0.875,0.9375,0.0696875,0.15625
422400.0,-51.763328552246094,0.75,0.84375,0.0565625,0.328125
425600.0,-60.22829055786133,0.875,0.9375,0.0484375,0.15625
428800.0,-68.5849380493164,1.0,1.0,0.0725,0.0
432000.0,-57.976593017578125,0.84375,0.875,0.065,0.203125
435200.0,-56.049861907958984,0.8125,0.90625,0.0609375,0.234375
438400.0,-49.511558532714844,0.71875,0.78125,0.064375,0.359375
441600.0,-62.26319885253906,0.90625,0.9375,0.0459375,0.125
444800.0,-62.26318359375,0.90625,0.9375,0.0525,0.125
448000.0,-58.084835052490234,0.84375,0.90625,0.0540625,0.171875
451200.0,-60.1198616027832,0.875,0.90625,0.04625,0.171875
454400.0,-49.728153228759766,0.71875,0.84375,0.065,0.328125
