step,tot_E,a,m,acceptance,wall_density
0.0,-66.9206771850586,1.0,1.0,0.0003125,0.0
3200.0,-60.70313262939453,0.90625,0.9375,0.070625,0.125
6400.0,-58.66813659667969,0.875,0.9375,0.04375,0.15625
9600.0,-54.541839599609375,0.8125,0.90625,0.0546875,0.234375
12800.0,-62.79443359375,0.9375,0.96875,0.045,0.078125
16000.0,-58.61188507080078,0.875,0.90625,0.051875,0.15625
19200.0,-66.92070770263672,1.0,1.0,0.1190625,0.0
22400.0,-66.92073059082031,1.0,1.0,0.0775,0.0
25600.0,-66.92074584960938,1.0,1.0,0.055,0.0
28800.0,-60.70317840576172,0.90625,0.9375,0.053125,0.125
32000.0,-60.703208923339844,0.90625,0.9375,0.07,0.125
35200.0,-62.79448699951172,0.9375,0.96875,0.0515625,0.078125
38400.0,-62.79447937011719,0.9375,0.96875,0.070625,0.078125
41600.0,-58.668212890625,0.875,0.9375,0.0528125,0.140625
44800.0,-66.92080688476562,1.0,1.0,0.06125,0.0
48000.0,-62.794517517089844,0.9375,0.96875,0.0546875,0.078125
51200.0,-60.70325469970703,0.90625,0.9375,0.0465625,0.125
54400.0,-66.92082214355469,1.0,1.0,0.06125,0.0
57600.0,-56.57697296142578,0.84375,0.90625,0.0746875,0.1875
60800.0,-66.92084503173828,1.0,1.0,0.0578125,0.0
64000.0,-66.92083740234375,1.0,1.0,0.058125,0.0
67200.0,-60.703285217285156,0.90625,0.9375,0.0525,0.125
70400.0,-62.79457092285156,0.9375,0.96875,0.0515625,0.078125
73600.0,-62.79457092285156,0.9375,0.96875,0.045625,0.078125
76800.0,-52.394474029541016,0.78125,0.84375,0.056875,0.28125
80000.0,-56.57703399658203,0.84375,0.90625,0.08,0.203125
83200.0,-56.57701873779297,0.84375,0.90625,0.076875,0.203125
86400.0,-58.66826629638672,0.875,0.9375,0.0678125,0.15625
89600.0,-58.66825866699219,0.875,0.9375,0.04875,0.15625
92800.0,-66.92083740234375,1.0,1.0,0.081875,0.0
96000.0,-58.611995697021484,0.875,0.90625,0.0690625,0.171875
99200.0,-62.7945556640625,0.9375,0.96875,0.06,0.078125
102400.0,-58.66830825805664,0.875,0.9375,0.0678125,0.140625
105600.0,-66.92089080810547,1.0,1.0,0.063125,0.0
108800.0,-62.79460906982422,0.9375,0.96875,0.0596875,0.078125
112000.0,-66.9209213256836,1.0,1.0,0.0490625,0.0
115200.0,-62.79461669921875,0.9375,0.96875,0.0571875,0.078125
118400.0,-58.66832733154297,0.875,0.9375,0.0728125,0.15625
121600.0,-66.92090606689453,1.0,1.0,0.0425,0.0
124800.0,-60.703338623046875,0.90625,0.9375,0.050625,0.125
128000.0,-62.79460144042969,0.9375,0.96875,0.0528125,0.078125
131200.0,-56.52079772949219,0.84375,0.875,0.0721875,0.21875
134400.0,-54.542030334472656,0.8125,0.90625,0.0634375,0.234375
137600.0,-45.78318786621094,0.6875,0.5625,0.0809375,0.453125
140800.0,-56.52082061767578,0.84375,0.875,0.06875,0.1875
144000.0,-66.9209213256836,1.0,1.0,0.0425,0.0
147200.0,-58.66832733154297,0.875,0.9375,0.07625,0.15625
150400.0,-62.79462432861328,0.9375,0.96875,0.0403125,0.078125
153600.0,-52.45079040527344,0.78125,0.875,0.0509375,0.28125
156800.0,-62.79462432861328,0.9375,0.96875,0.0540625,0.078125
160000.0,-66.92091369628906,1.0,1.0,0.0453125,0.0
163200.0,-62.79462432861328,0.9375,0.96875,0.0571875,0.078125
166400.0,-56.57707977294922,0.84375,0.90625,0.064375,0.203125
169600.0,-58.55585861206055,0.875,0.875,0.0615625,0.1875
172800.0,-66.92092895507812,1.0,1.0,0.055625,0.0
176000.0,-47.93071365356445,0.71875,0.625,0.073125,0.375
179200.0,-62.794654846191406,0.9375,0.96875,0.0478125,0.078125
182400.0,-62.794654846191406,0.9375,0.96875,0.083125,0.078125
185600.0,-66.92093658447266,1.0,1.0,0.0546875,0.0
188800.0,-62.794654846191406,0.9375,0.96875,0.0634375,0.078125
192000.0,-58.61213684082031,0.875,0.90625,0.060625,0.15625
195200.0,-52.45082092285156,0.78125,0.875,0.0471875,0.265625
