k,time,m,m_std,a,a_std,wall_density,wall_density_std
0.5,16.186708450317383,0.0026692708333333325,0.01163407461510548,0.7639322916666668,0.002329451551051641,0.22145182291666665,0.002083527799019838
0.575075075075075,15.958854913711548,0.0010416666666666675,0.012882266675243748,0.818185763888889,0.0011487637222917873,0.1739149305555555,0.001103185674143403
0.6501501501501501,15.564431428909302,0.010243055555555557,0.017966572945616353,0.8602430555555557,0.0019342829797244707,0.13448350694444444,0.001808996206722586
0.7252252252252253,15.661288738250732,0.030664062500000002,0.02620678067047381,0.8972222222222221,0.001556388966534619,0.10021701388888887,0.001550879165936362
0.8003003003003003,15.50923204421997,0.006597222222222209,0.044435482742258316,0.9203559027777778,0.0015451345858976601,0.07805989583333334,0.0014915567097422905
0.8753753753753754,15.87041449546814,0.0730685763888889,0.05263666579055306,0.9417968750000001,0.0012413051612597524,0.057313368055555564,0.0012334692671604065
0.9504504504504505,15.604708194732666,-0.07673611111111112,0.0813209479224342,0.9577690972222221,0.001564378239754545,0.04171006944444445,0.0015853289002890633
1.0255255255255256,15.733726024627686,0.04598524305555554,0.12248720094034195,0.9674913194444446,0.0022260217036967696,0.03215060763888889,0.002228311970859611
1.1006006006006006,16.605580806732178,-0.2674696180555555,0.1113798953233869,0.9782118055555554,0.0017694911932959094,0.021614583333333333,0.0017531255597715018
1.1756756756756757,16.633408784866333,0.37619357638888895,0.12943171225090075,0.9845920138888888,0.0020110443501973998,0.015321180555555555,0.001995695070025152
1.2507507507507507,16.581921339035034,-0.06931423611111111,0.11231285257430079,0.9832899305555556,0.0011388821169145485,0.016666666666666666,0.0011327112516732033
1.325825825825826,16.398898124694824,-0.1401909722222222,0.1889031457268863,0.9909288194444446,0.0016616553135497209,0.009049479166666666,0.0016620887265259854
1.400900900900901,16.44665288925171,0.8930989583333333,0.05345803734749873,0.9957465277777777,0.0015015988570206077,0.004253472222222223,0.0015015988570206066
1.475975975975976,16.466687202453613,-0.07977430555555556,0.22728299061607352,0.9972222222222222,0.0013754197797852653,0.002777777777777778,0.001375419779785265
1.5510510510510511,17.00341510772705,-0.9603949652777778,0.025314824851300526,0.9977430555555556,0.0010585505326674777,0.0022569444444444447,0.0010585505326674786
1.6261261261261262,16.925379991531372,0.9864149305555556,0.00947191887709556,0.9989149305555556,0.0007369455755853484,0.00107421875,0.0007318578472313985
1.7012012012012012,16.685229539871216,-0.9976779513888889,0.0021665168404819287,0.999652777777778,0.0003043660465855041,0.0003472222222222222,0.000304366046585503
1.7762762762762763,16.434805154800415,-0.9996310763888889,0.0003689236111111086,0.9999565972222223,4.340277777777531e-05,4.340277777777778e-05,4.3402777777777786e-05
1.8513513513513513,16.521514415740967,0.9938368055555556,0.006163194444444447,0.9996527777777777,0.00034722222222222104,0.00034722222222222224,0.0003472222222222223
1.9264264264264264,16.632425785064697,1.0,0.0,1.0,0.0,0.0,0.0
2.0015015015015014,16.75882577896118,-1.0,0.0,1.0,0.0,0.0,0.0
2.0765765765765765,16.48159384727478,-1.0,0.0,1.0,0.0,0.0,0.0
2.151651651651652,16.5565927028656,1.0,0.0,1.0,0.0,0.0,0.0
2.226726726726727,16.508270263671875,1.0,0.0,1.0,0.0,0.0,0.0
2.301801801801802,16.454430103302002,1.0,0.0,1.0,0.0,0.0,0.0
2.376876876876877,16.738749027252197,-1.0,0.0,1.0,0.0,0.0,0.0
2.451951951951952,16.712499141693115,1.0,0.0,1.0,0.0,0.0,0.0
2.527027027027027,16.391388416290283,-1.0,0.0,1.0,0.0,0.0,0.0
2.6021021021021022,16.104912042617798,-1.0,0.0,1.0,0.0,0.0,0.0
2.6771771771771773,16.58931016921997,1.0,0.0,1.0,0.0,0.0,0.0
2.7522522522522523,19.5538969039917,1.0,0.0,1.0,0.0,0.0,0.0
2.8273273273273274,17.223755359649658,-1.0,0.0,1.0,0.0,0.0,0.0
2.9024024024024024,16.031944274902344,-1.0,0.0,1.0,0.0,0.0,0.0
2.9774774774774775,16.7359402179718,-1.0,0.0,1.0,0.0,0.0,0.0
3.0525525525525525,16.03844451904297,-1.0,0.0,1.0,0.0,0.0,0.0
3.1276276276276276,16.976991891860962,1.0,0.0,1.0,0.0,0.0,0.0
3.2027027027027026,16.87727665901184,1.0,0.0,1.0,0.0,0.0,0.0
3.2777777777777777,16.526925802230835,-1.0,0.0,1.0,0.0,0.0,0.0
3.3528528528528527,16.308167219161987,-1.0,0.0,1.0,0.0,0.0,0.0
3.4279279279279278,17.06787419319153,-1.0,0.0,1.0,0.0,0.0,0.0
3.503003003003003,16.544585704803467,-1.0,0.0,1.0,0.0,0.0,0.0
3.578078078078078,16.524805307388306,-1.0,0.0,1.0,0.0,0.0,0.0
3.653153153153153,16.430072784423828,1.0,0.0,1.0,0.0,0.0,0.0
3.7282282282282284,16.5535831451416,1.0,0.0,1.0,0.0,0.0,0.0
3.8033033033033035,16.577093839645386,1.0,0.0,1.0,0.0,0.0,0.0
3.8783783783783785,16.554859399795532,-1.0,0.0,1.0,0.0,0.0,0.0
3.9534534534534536,16.543779611587524,-1.0,0.0,1.0,0.0,0.0,0.0
4.028528528528529,16.755925178527832,1.0,0.0,1.0,0.0,0.0,0.0
4.103603603603604,18.95529580116272,-1.0,0.0,1.0,0.0,0.0,0.0
4.178678678678679,18.34447693824768,1.0,0.0,1.0,0.0,0.0,0.0
4.253753753753754,18.644670724868774,1.0,0.0,1.0,0.0,0.0,0.0
4.328828828828829,16.343939542770386,1.0,0.0,1.0,0.0,0.0,0.0
4.403903903903904,16.253906965255737,1.0,0.0,1.0,0.0,0.0,0.0
4.478978978978979,16.18248438835144,1.0,0.0,1.0,0.0,0.0,0.0
4.554054054054054,16.721412658691406,-1.0,0.0,1.0,0.0,0.0,0.0
4.629129129129129,16.969860792160034,1.0,0.0,1.0,0.0,0.0,0.0
4.7042042042042045,16.677278995513916,1.0,0.0,1.0,0.0,0.0,0.0
4.7792792792792795,16.660143613815308,1.0,0.0,1.0,0.0,0.0,0.0
4.854354354354355,16.88533639907837,-1.0,0.0,1.0,0.0,0.0,0.0
4.92942942942943,16.563194751739502,1.0,0.0,1.0,0.0,0.0,0.0
5.004504504504505,16.39754843711853,-1.0,0.0,1.0,0.0,0.0,0.0
5.07957957957958,16.36740779876709,-1.0,0.0,1.0,0.0,0.0,0.0
5.154654654654655,16.784421682357788,1.0,0.0,1.0,0.0,0.0,0.0
5.22972972972973,16.657793521881104,1.0,0.0,1.0,0.0,0.0,0.0
5.304804804804805,16.814249992370605,1.0,0.0,1.0,0.0,0.0,0.0
5.37987987987988,16.613171577453613,1.0,0.0,1.0,0.0,0.0,0.0
5.454954954954955,16.915071725845337,-1.0,0.0,1.0,0.0,0.0,0.0
5.53003003003003,16.57265853881836,-1.0,0.0,1.0,0.0,0.0,0.0
5.605105105105105,16.681554317474365,-1.0,0.0,1.0,0.0,0.0,0.0
5.68018018018018,16.918740272521973,1.0,0.0,1.0,0.0,0.0,0.0
5.755255255255255,16.7143132686615,1.0,0.0,1.0,0.0,0.0,0.0
5.83033033033033,18.6155264377594,1.0,0.0,1.0,0.0,0.0,0.0
5.905405405405405,18.597845792770386,-1.0,0.0,1.0,0.0,0.0,0.0
5.98048048048048,16.077059268951416,1.0,0.0,1.0,0.0,0.0,0.0
6.055555555555555,16.665913820266724,-1.0,0.0,1.0,0.0,0.0,0.0
6.13063063063063,17.501331090927124,1.0,0.0,1.0,0.0,0.0,0.0
6.2057057057057055,16.808364629745483,1.0,0.0,1.0,0.0,0.0,0.0
6.2807807807807805,16.44300675392151,-1.0,0.0,1.0,0.0,0.0,0.0
6.3558558558558556,16.916589975357056,-1.0,0.0,1.0,0.0,0.0,0.0
6.430930930930931,16.992894411087036,1.0,0.0,1.0,0.0,0.0,0.0
6.506006006006006,16.47446322441101,-1.0,0.0,1.0,0.0,0.0,0.0
6.581081081081081,16.41555881500244,1.0,0.0,1.0,0.0,0.0,0.0
6.656156156156156,16.639241933822632,-1.0,0.0,1.0,0.0,0.0,0.0
6.731231231231231,16.64576554298401,-1.0,0.0,1.0,0.0,0.0,0.0
6.806306306306306,16.802095651626587,1.0,0.0,1.0,0.0,0.0,0.0
6.881381381381381,16.962759494781494,-1.0,0.0,1.0,0.0,0.0,0.0
6.956456456456457,16.585381269454956,-1.0,0.0,1.0,0.0,0.0,0.0
7.031531531531532,16.89188313484192,-1.0,0.0,1.0,0.0,0.0,0.0
7.106606606606607,16.72980785369873,-1.0,0.0,1.0,0.0,0.0,0.0
7.181681681681682,17.1287202835083,-1.0,0.0,1.0,0.0,0.0,0.0
7.256756756756757,19.664966583251953,-1.0,0.0,1.0,0.0,0.0,0.0
7.331831831831832,17.53756856918335,1.0,0.0,1.0,0.0,0.0,0.0
7.406906906906907,17.486867666244507,1.0,0.0,1.0,0.0,0.0,0.0
7.481981981981982,17.778452157974243,-1.0,0.0,1.0,0.0,0.0,0.0
7.557057057057057,19.074817180633545,1.0,0.0,1.0,0.0,0.0,0.0
7.632132132132132,19.546147108078003,1.0,0.0,1.0,0.0,0.0,0.0
7.707207207207207,18.579760789871216,-1.0,0.0,1.0,0.0,0.0,0.0
7.782282282282282,18.730251789093018,-1.0,0.0,1.0,0.0,0.0,0.0
7.857357357357357,16.62810230255127,-1.0,0.0,1.0,0.0,0.0,0.0
7.9324324324324325,17.30403995513916,1.0,0.0,1.0,0.0,0.0,0.0
