k,time,m,m_std,a,a_std,wall_density,wall_density_std
4.7042042042042045,4.186996936798097,-1.0,0.0,1.0,0.0,0.0,0.0
4.77927927927928,4.2672038078308105,1.0,0.0,1.0,0.0,0.0,0.0
4.8543543543543555,4.1705968379974365,1.0,0.0,1.0,0.0,0.0,0.0
4.92942942942943,4.123350381851196,1.0,0.0,1.0,0.0,0.0,0.0
5.004504504504505,4.082937717437743,-1.0,0.0,1.0,0.0,0.0,0.0
5.07957957957958,4.146026849746703,-1.0,0.0,1.0,0.0,0.0,0.0
5.154654654654656,4.3629815578460684,1.0,0.0,1.0,0.0,0.0,0.0
5.229729729729731,4.297186374664307,-1.0,0.0,1.0,0.0,0.0,0.0
5.304804804804805,4.191927671432495,1.0,0.0,1.0,0.0,0.0,0.0
5.37987987987988,4.073502779006958,-1.0,0.0,1.0,0.0,0.0,0.0
5.454954954954956,4.150892972946167,-1.0,0.0,1.0,0.0,0.0,0.0
5.53003003003003,4.410740375518799,1.0,0.0,1.0,0.0,0.0,0.0
5.605105105105106,4.211182594299316,1.0,0.0,1.0,0.0,0.0,0.0
5.68018018018018,4.165461778640747,-1.0,0.0,1.0,0.0,0.0,0.0
5.755255255255254,4.148149490356444,-1.0,0.0,1.0,0.0,0.0,0.0
5.83033033033033,4.18752121925354,1.0,0.0,1.0,0.0,0.0,0.0
5.905405405405406,4.335339546203613,-1.0,0.0,1.0,0.0,0.0,0.0
5.98048048048048,4.550867795944214,1.0,0.0,1.0,0.0,0.0,0.0
6.0555555555555545,4.254402160644531,1.0,0.0,1.0,0.0,0.0,0.0
6.13063063063063,4.253756284713745,1.0,0.0,1.0,0.0,0.0,0.0
6.2057057057057055,4.3904197216033936,-1.0,0.0,1.0,0.0,0.0,0.0
6.2807807807807805,4.3964502811431885,-1.0,0.0,1.0,0.0,0.0,0.0
6.355855855855856,4.18273401260376,1.0,0.0,1.0,0.0,0.0,0.0
6.4309309309309315,4.295332908630371,1.0,0.0,1.0,0.0,0.0,0.0
6.506006006006006,4.2787392139434814,-1.0,0.0,1.0,0.0,0.0,0.0
6.581081081081082,4.503178596496582,-1.0,0.0,1.0,0.0,0.0,0.0
6.656156156156156,4.194618701934815,-1.0,0.0,1.0,0.0,0.0,0.0
6.731231231231232,4.243701457977295,-1.0,0.0,1.0,0.0,0.0,0.0
6.806306306306306,4.571517467498778,1.0,0.0,1.0,0.0,0.0,0.0
6.881381381381381,4.242865800857544,1.0,0.0,1.0,0.0,0.0,0.0
6.956456456456458,4.292855978012085,-1.0,0.0,1.0,0.0,0.0,0.0
7.031531531531532,4.245884180068971,1.0,0.0,1.0,0.0,0.0,0.0
7.106606606606608,4.213488817214967,-1.0,0.0,1.0,0.0,0.0,0.0
7.181681681681683,4.2948291301727295,1.0,0.0,1.0,0.0,0.0,0.0
7.256756756756758,4.160522699356078,-1.0,0.0,1.0,0.0,0.0,0.0
7.331831831831832,4.078089237213135,-1.0,0.0,1.0,0.0,0.0,0.0
7.406906906906907,4.1312174797058105,1.0,0.0,1.0,0.0,0.0,0.0
7.481981981981982,4.1460421085357675,-1.0,0.0,1.0,0.0,0.0,0.0
7.557057057057057,4.151086330413818,1.0,0.0,1.0,0.0,0.0,0.0
7.632132132132133,4.338921308517456,1.0,0.0,1.0,0.0,0.0,0.0
7.707207207207206,4.329939842224121,1.0,0.0,1.0,0.0,0.0,0.0
7.782282282282282,4.08478307723999,-1.0,0.0,1.0,0.0,0.0,0.0
7.857357357357357,4.235600709915161,-1.0,0.0,1.0,0.0,0.0,0.0
7.932432432432432,4.081162691116333,1.0,0.0,1.0,0.0,0.0,0.0
0.5,3.969012975692749,-0.012239583333333333,0.011292987326447793,0.7704861111111112,0.004221621528047152,0.21536458333333333,0.00399710516802657
0.575075075075075,4.116501092910767,-0.014149305555555554,0.021332288014185484,0.8116319444444444,0.0036067190642348596,0.17938368055555556,0.0037002131483829855
0.6501501501501501,3.9199681282043457,-0.018229166666666668,0.03150756803279973,0.8543402777777778,0.0033050547658495855,0.14058159722222224,0.0031702908131472757
0.7252252252252253,3.947420358657837,0.03949652777777777,0.04385233377015421,0.8951388888888889,0.003096502231739743,0.10225694444444444,0.0029811997677051953
0.8003003003003003,4.046655178070068,-0.05303819444444444,0.07082054475437041,0.9190972222222223,0.0018198747183691467,0.07934027777777779,0.0017483230631215865
0.8753753753753754,4.021369934082031,-0.12430555555555554,0.09628642808239297,0.9376736111111111,0.0029943291120004033,0.06128472222222223,0.0029430419502117612
0.9504504504504505,3.9047393798828125,0.3447916666666667,0.10823202099502856,0.9595486111111112,0.003699898687129884,0.03980034722222222,0.0037090072391155614
1.0255255255255256,4.033160448074341,-0.24010416666666665,0.1667462088071339,0.9727430555555555,0.003920464786264675,0.026909722222222224,0.003917580698200792
1.1006006006006006,3.92741060256958,-0.24053819444444446,0.18849606378535802,0.9826388888888891,0.0034752845972601306,0.0171875,0.0035001303882692177
1.1756756756756757,3.911989688873291,-0.07821180555555557,0.1945073056233152,0.9850694444444444,0.004054522990586069,0.014887152777777777,0.004046438791005509
1.2507507507507507,3.9335780143737793,-0.9467013888888888,0.02776322126764358,0.9944444444444444,0.0024305555555555547,0.005555555555555556,0.0024305555555555556
1.325825825825826,3.9426960945129395,-0.9888888888888889,0.0070512366725290765,0.9982638888888888,0.000846337800453458,0.0016927083333333334,0.0008143763292591944
1.400900900900901,3.90598464012146,0.9903645833333334,0.0071761352499953275,0.9987847222222221,0.0007637496159431446,0.0012152777777777778,0.000763749615943147
1.475975975975976,3.9629669189453125,-0.022482638888888892,0.23764444630287007,0.9984375000000001,0.0013895270184373259,0.0015625,0.0013895270184373244
1.5510510510510511,3.9727213382720947,-1.0,0.0,1.0,0.0,0.0,0.0
1.6261261261261262,3.931576728820801,0.9996527777777777,0.00034722222222222104,0.9998263888888889,0.0001736111111111136,0.00017361111111111112,0.00017361111111111114
1.7012012012012012,3.912109613418579,1.0,0.0,1.0,0.0,0.0,0.0
1.7762762762762763,4.0694899559021,1.0,0.0,1.0,0.0,0.0,0.0
1.8513513513513513,3.8930301666259766,1.0,0.0,1.0,0.0,0.0,0.0
1.9264264264264264,4.058245658874512,1.0,0.0,1.0,0.0,0.0,0.0
2.0015015015015014,4.027948379516602,1.0,0.0,1.0,0.0,0.0,0.0
2.0765765765765765,3.9433484077453613,1.0,0.0,1.0,0.0,0.0,0.0
2.151651651651652,4.152806520462036,-1.0,0.0,1.0,0.0,0.0,0.0
2.226726726726727,4.0466156005859375,1.0,0.0,1.0,0.0,0.0,0.0
2.301801801801802,4.034597158432007,1.0,0.0,1.0,0.0,0.0,0.0
2.376876876876877,4.041525840759277,1.0,0.0,1.0,0.0,0.0,0.0
2.451951951951952,4.0030517578125,-1.0,0.0,1.0,0.0,0.0,0.0
2.527027027027027,3.9639394283294678,-1.0,0.0,1.0,0.0,0.0,0.0
2.6021021021021022,4.1357996463775635,-1.0,0.0,1.0,0.0,0.0,0.0
2.6771771771771773,3.9371416568756104,1.0,0.0,1.0,0.0,0.0,0.0
2.7522522522522523,3.9076714515686035,-1.0,0.0,1.0,0.0,0.0,0.0
2.8273273273273274,4.065565824508667,-1.0,0.0,1.0,0.0,0.0,0.0
2.9024024024024024,4.101061582565308,-1.0,0.0,1.0,0.0,0.0,0.0
2.9774774774774775,4.061692476272583,1.0,0.0,1.0,0.0,0.0,0.0
3.0525525525525525,4.07963490486145,-1.0,0.0,1.0,0.0,0.0,0.0
