step,tot_E,a,m,acceptance,wall_density
0.0,-6832.169921875,1.0,1.0,2e-06,0.0
500000.0,-3538.34912109375,0.4986,0.6634,0.31021,0.7665
1000000.0,-3584.4111328125,0.5056,0.6682,0.325032,0.7614
1500000.0,-3568.367919921875,0.5027,0.67,0.324182,0.7642
2000000.0,-3510.688232421875,0.4938,0.665,0.322266,0.7745
2500000.0,-3621.34423828125,0.5109,0.6744,0.31843,0.7564
3000000.0,-3657.4296875,0.5159,0.6818,0.320406,0.7469
3500000.0,-3504.624755859375,0.4933,0.6612,0.321398,0.7722
4000000.0,-3745.199951171875,0.5283,0.698,0.31936,0.7496
4500000.0,-3844.2822265625,0.5438,0.705,0.312714,0.7182
5000000.0,-3634.087646484375,0.5128,0.676,0.315082,0.7492
5500000.0,-3633.567626953125,0.5129,0.6746,0.318058,0.7493
6000000.0,-3728.852783203125,0.5266,0.6904,0.319834,0.7385
6500000.0,-3603.09619140625,0.5079,0.6742,0.314178,0.7576
7000000.0,-3508.045654296875,0.494,0.6602,0.319076,0.7732
7500000.0,-3633.00146484375,0.5127,0.6754,0.31484,0.752
8000000.0,-3672.056640625,0.5179,0.685,0.31652,0.7472
8500000.0,-3683.52001953125,0.5202,0.682,0.321594,0.7427
9000000.0,-3574.519287109375,0.5038,0.6694,0.32067,0.7661
9500000.0,-3777.32421875,0.534,0.6952,0.320694,0.7294
10000000.0,-3566.833984375,0.5021,0.6726,0.317626,0.7656
10500000.0,-3461.103515625,0.4872,0.6528,0.320398,0.7734
11000000.0,-3551.135498046875,0.5008,0.6628,0.31582,0.7652
11500000.0,-3580.6650390625,0.5045,0.6718,0.31705,0.7641
12000000.0,-3655.749267578125,0.5161,0.6782,0.31976,0.7509
12500000.0,-3803.652099609375,0.5381,0.6972,0.312602,0.7226
13000000.0,-3624.597412109375,0.5112,0.6762,0.31841,0.7541
13500000.0,-3563.395263671875,0.5027,0.6638,0.31638,0.7521
14000000.0,-3660.369140625,0.5166,0.6802,0.320232,0.7476
14500000.0,-3589.4736328125,0.5062,0.67,0.320002,0.7568
15000000.0,-3603.259521484375,0.5083,0.6714,0.316314,0.7567
15500000.0,-3817.043212890625,0.5404,0.6966,0.31716,0.7253
16000000.0,-3712.18603515625,0.5249,0.6824,0.315882,0.7378
16500000.0,-3607.63720703125,0.5086,0.6746,0.31911,0.7522
17000000.0,-3594.698974609375,0.5068,0.672,0.31657,0.7587
17500000.0,-3654.694091796875,0.5151,0.6844,0.319868,0.7472
18000000.0,-3631.50439453125,0.5116,0.6818,0.315334,0.7521
18500000.0,-3612.789794921875,0.5098,0.672,0.319358,0.755
19000000.0,-3534.529541015625,0.4977,0.6654,0.321118,0.7676
19500000.0,-3698.80419921875,0.523,0.68,0.320114,0.7393
20000000.0,-3689.86181640625,0.5204,0.6884,0.316492,0.7439
20500000.0,-3678.86572265625,0.5198,0.6792,0.315156,0.7455
21000000.0,-3526.490234375,0.4965,0.6644,0.3166,0.763
21500000.0,-3535.330078125,0.4977,0.6664,0.319872,0.7696
22000000.0,-3629.659912109375,0.5118,0.678,0.317172,0.7503
22500000.0,-3621.544677734375,0.5108,0.6754,0.316618,0.7518
23000000.0,-3697.302734375,0.5219,0.6864,0.318854,0.7394
23500000.0,-3580.063232421875,0.5044,0.6718,0.319534,0.7607
24000000.0,-3648.500244140625,0.5141,0.6842,0.31996,0.7486
24500000.0,-3555.183837890625,0.5007,0.6686,0.316804,0.7626
25000000.0,-3570.426513671875,0.5036,0.6658,0.320288,0.758
25500000.0,-3677.849365234375,0.5191,0.6832,0.32275,0.7451
26000000.0,-3544.342041015625,0.4997,0.6626,0.317906,0.7618
26500000.0,-3493.900390625,0.492,0.6576,0.316734,0.767
27000000.0,-3675.357177734375,0.5185,0.6846,0.318426,0.7405
27500000.0,-3647.18603515625,0.5146,0.6788,0.31987,0.7505
28000000.0,-3798.50341796875,0.5369,0.6998,0.316318,0.7296
28500000.0,-3600.278076171875,0.5073,0.6752,0.321462,0.7582
29000000.0,-3746.0576171875,0.5294,0.6908,0.320128,0.7319
29500000.0,-3705.015380859375,0.5227,0.69,0.31932,0.7448
30000000.0,-3598.547607421875,0.5068,0.6768,0.313484,0.7584
30500000.0,-3742.31201171875,0.5283,0.6944,0.31726,0.7368
31000000.0,-3540.19140625,0.4984,0.6672,0.317632,0.7686
31500000.0,-3529.784423828125,0.4971,0.664,0.314424,0.7663
32000000.0,-3732.914306640625,0.5273,0.6902,0.320374,0.7335
32500000.0,-3586.263671875,0.5058,0.669,0.319664,0.7567
33000000.0,-3777.80419921875,0.5336,0.6988,0.31481,0.7316
33500000.0,-3677.53955078125,0.5195,0.6798,0.31571,0.743
34000000.0,-3533.8134765625,0.4979,0.663,0.317868,0.7659
34500000.0,-3609.012939453125,0.5092,0.6718,0.321932,0.7569
35000000.0,-3487.474609375,0.4912,0.6556,0.315598,0.7714
35500000.0,-3633.318359375,0.5123,0.6788,0.321548,0.7545
36000000.0,-3600.082763671875,0.5074,0.6742,0.318614,0.7506
36500000.0,-3485.306884765625,0.491,0.6544,0.317586,0.7773
37000000.0,-3532.8896484375,0.4978,0.6626,0.32305,0.7701
37500000.0,-3741.3544921875,0.5283,0.6932,0.318534,0.7315
38000000.0,-3740.629638671875,0.5281,0.6938,0.321822,0.7411
38500000.0,-3638.6279296875,0.5131,0.6794,0.317564,0.7511
39000000.0,-3447.637939453125,0.4847,0.6548,0.320214,0.772
39500000.0,-3557.356689453125,0.5009,0.6698,0.31955,0.7629
40000000.0,-3568.24951171875,0.5026,0.6706,0.316292,0.7701
40500000.0,-3659.24853515625,0.5166,0.6788,0.318934,0.7488
41000000.0,-3624.316650390625,0.5111,0.6766,0.317174,0.7599
41500000.0,-3584.889404296875,0.5052,0.6718,0.31684,0.7606
42000000.0,-3648.15185546875,0.5146,0.68,0.31421,0.7439
42500000.0,-3486.055419921875,0.4903,0.6606,0.317306,0.7735
43000000.0,-3727.2041015625,0.5263,0.6906,0.320172,0.7375
43500000.0,-3573.35986328125,0.5039,0.6672,0.317222,0.7624
44000000.0,-3525.724365234375,0.4964,0.6642,0.32185,0.7737
44500000.0,-3708.712890625,0.5235,0.6886,0.316824,0.7439
45000000.0,-3754.8076171875,0.53,0.6972,0.315666,0.7429
45500000.0,-3632.18017578125,0.5115,0.6834,0.321018,0.7514
46000000.0,-3810.83935546875,0.5386,0.7024,0.31509,0.7273
46500000.0,-3721.216552734375,0.5256,0.6884,0.317352,0.7416
47000000.0,-3702.48974609375,0.523,0.6846,0.317474,0.7471
47500000.0,-3533.63916015625,0.4975,0.6658,0.31896,0.7744
48000000.0,-3495.859619140625,0.4919,0.6608,0.319518,0.7821
48500000.0,-3650.364501953125,0.5155,0.676,0.317252,0.7475
49000000.0,-3771.907958984375,0.5339,0.6892,0.3168,0.7299
49500000.0,-3791.15380859375,0.5364,0.6944,0.31642,0.7343
50000000.0,-3611.09228515625,0.5092,0.6744,0.31338,0.7595
50500000.0,-3605.978271484375,0.5079,0.6778,0.32031,0.7517
51000000.0,-3365.80224609375,0.4727,0.643,0.321536,0.7931
51500000.0,-3667.398681640625,0.5175,0.6822,0.320988,0.7474
52000000.0,-3712.171142578125,0.5241,0.6884,0.318466,0.7486
52500000.0,-3638.65234375,0.5126,0.6832,0.3168,0.7526
53000000.0,-3624.07666015625,0.5113,0.6748,0.319732,0.7577
53500000.0,-3429.309326171875,0.4823,0.65,0.3196,0.78
54000000.0,-3552.40625,0.5,0.6704,0.316064,0.7663
54500000.0,-3559.32763671875,0.5016,0.667,0.316894,0.7639
55000000.0,-3617.759033203125,0.5098,0.6782,0.317852,0.7554
55500000.0,-3675.715576171875,0.5184,0.6858,0.322728,0.742
56000000.0,-3518.496337890625,0.4956,0.6612,0.318614,0.7704
56500000.0,-3296.753662109375,0.4621,0.6366,0.31901,0.7992
57000000.0,-3514.396240234375,0.495,0.6606,0.31858,0.7636
57500000.0,-3781.494873046875,0.534,0.7004,0.322522,0.729
58000000.0,-3608.468505859375,0.5081,0.6794,0.320782,0.7613
58500000.0,-3643.8818359375,0.5136,0.6822,0.321408,0.7531
59000000.0,-3535.052734375,0.498,0.6638,0.31912,0.7736
59500000.0,-3587.62744140625,0.506,0.6692,0.318014,0.7569
60000000.0,-3612.780517578125,0.5094,0.675,0.316594,0.7536
60500000.0,-3641.682373046875,0.5139,0.6772,0.31789,0.7566
61000000.0,-3678.29296875,0.5192,0.683,0.316998,0.7484
61500000.0,-3720.66064453125,0.5258,0.6862,0.318084,0.7468
62000000.0,-3466.44287109375,0.4875,0.6572,0.320614,0.7787
62500000.0,-3557.4814453125,0.5014,0.6662,0.317506,0.7636
63000000.0,-3655.13623046875,0.5152,0.6842,0.317576,0.7521
63500000.0,-3745.660888671875,0.5296,0.6888,0.317466,0.7354
64000000.0,-3539.9501953125,0.4982,0.6684,0.316148,0.7637
64500000.0,-3542.174560546875,0.4995,0.6614,0.31777,0.7664
65000000.0,-3542.33056640625,0.4991,0.6646,0.31632,0.7615
65500000.0,-3703.10302734375,0.5235,0.6816,0.319154,0.7378
66000000.0,-3582.426513671875,0.5041,0.677,0.31691,0.7625
66500000.0,-3580.678955078125,0.5053,0.6658,0.320188,0.7615
67000000.0,-3568.46240234375,0.5037,0.6626,0.314832,0.7548
67500000.0,-3677.568603515625,0.519,0.6836,0.318902,0.7457
68000000.0,-3669.094482421875,0.5181,0.6798,0.318798,0.7483
68500000.0,-3568.972900390625,0.5028,0.67,0.320746,0.7584
69000000.0,-3781.390869140625,0.5347,0.695,0.31695,0.7324
69500000.0,-3747.1416015625,0.5291,0.6944,0.31861,0.7366
70000000.0,-3641.392822265625,0.513,0.6836,0.322208,0.7555
70500000.0,-3670.01708984375,0.5178,0.6832,0.31802,0.7505
71000000.0,-3661.01708984375,0.5166,0.681,0.31831,0.7428
71500000.0,-3679.139892578125,0.5191,0.6848,0.319182,0.7403
72000000.0,-3656.71142578125,0.5157,0.6824,0.318208,0.7523
72500000.0,-3578.41943359375,0.5041,0.672,0.3166,0.766
73000000.0,-3627.053466796875,0.5115,0.677,0.317942,0.7585
73500000.0,-3671.19091796875,0.5185,0.6794,0.321356,0.7522
74000000.0,-3741.75927734375,0.5285,0.6922,0.314964,0.7322
74500000.0,-3484.939453125,0.4903,0.6592,0.321102,0.7765
75000000.0,-3605.713134765625,0.5082,0.6752,0.317296,0.7526
75500000.0,-3340.293701171875,0.469,0.639,0.321118,0.7865
