step,tot_E,a,m,acceptance,wall_density
0.0,-795.1844482421875,1.0,1.0,2e-05,0.0
50000.0,-578.8941040039062,0.728,0.834,0.16702,0.416
100000.0,-570.4160766601562,0.7173333333333334,0.82,0.16526,0.426
150000.0,-540.7305908203125,0.68,0.796,0.18972,0.48
200000.0,-565.1134643554688,0.7106666666666667,0.8,0.1794,0.45
250000.0,-532.2481079101562,0.6693333333333333,0.79,0.18078,0.472
300000.0,-571.478759765625,0.7186666666666667,0.816,0.1639,0.419
350000.0,-574.6578979492188,0.7226666666666667,0.79,0.18298,0.44
400000.0,-599.0415649414062,0.7533333333333333,0.842,0.16972,0.38
450000.0,-539.6683349609375,0.6786666666666666,0.79,0.18024,0.467
500000.0,-579.9586791992188,0.7293333333333333,0.836,0.16554,0.408
550000.0,-591.6210327148438,0.744,0.838,0.17306,0.375
600000.0,-523.7672729492188,0.6586666666666666,0.788,0.17066,0.515
650000.0,-583.140869140625,0.7333333333333333,0.836,0.17848,0.415
700000.0,-522.7061767578125,0.6573333333333333,0.78,0.17088,0.518
750000.0,-568.2953491210938,0.7146666666666667,0.824,0.17452,0.444
800000.0,-532.2487182617188,0.6693333333333333,0.764,0.18812,0.505
850000.0,-547.0927124023438,0.688,0.798,0.16794,0.48
900000.0,-508.92425537109375,0.64,0.768,0.17738,0.533
950000.0,-582.080810546875,0.732,0.838,0.17426,0.413
1000000.0,-565.1151733398438,0.7106666666666667,0.822,0.1628,0.447
1050000.0,-603.2870483398438,0.7586666666666667,0.858,0.16596,0.37
1100000.0,-534.3702392578125,0.672,0.776,0.16674,0.478
1150000.0,-626.6124877929688,0.788,0.872,0.1704,0.333
1200000.0,-604.3455200195312,0.76,0.858,0.1793,0.387
1250000.0,-557.6917724609375,0.7013333333333334,0.814,0.17984,0.469
1300000.0,-595.8609619140625,0.7493333333333333,0.844,0.1675,0.395
1350000.0,-604.3419799804688,0.76,0.858,0.17186,0.369
1400000.0,-611.764404296875,0.7693333333333333,0.864,0.1695,0.359
1450000.0,-600.1002197265625,0.7546666666666667,0.836,0.18268,0.383
1500000.0,-602.2203369140625,0.7573333333333333,0.844,0.17644,0.37
1550000.0,-550.2681884765625,0.692,0.804,0.17716,0.48
1600000.0,-528.0044555664062,0.664,0.792,0.17688,0.504
1650000.0,-540.72412109375,0.68,0.784,0.17364,0.485
1700000.0,-540.7228393554688,0.68,0.8,0.1742,0.477
1750000.0,-520.5784912109375,0.6546666666666666,0.762,0.17774,0.518
1800000.0,-561.9279174804688,0.7066666666666667,0.816,0.1789,0.449
1850000.0,-569.3477172851562,0.716,0.82,0.1666,0.449
1900000.0,-630.843505859375,0.7933333333333333,0.874,0.18026,0.334
1950000.0,-529.061279296875,0.6653333333333333,0.768,0.1733,0.501
2000000.0,-557.6878051757812,0.7013333333333334,0.8,0.16832,0.452
2050000.0,-573.590087890625,0.7213333333333334,0.816,0.1738,0.431
2100000.0,-521.637939453125,0.656,0.786,0.17966,0.495
2150000.0,-569.3486938476562,0.716,0.814,0.17192,0.439
2200000.0,-621.3016357421875,0.7813333333333333,0.866,0.17288,0.335
2250000.0,-607.519287109375,0.764,0.862,0.17456,0.37
2300000.0,-594.7984619140625,0.748,0.832,0.1833,0.393
2350000.0,-576.7736206054688,0.7253333333333334,0.822,0.17718,0.407
2400000.0,-595.8604736328125,0.7493333333333333,0.854,0.16604,0.398
2450000.0,-587.3806762695312,0.7386666666666667,0.826,0.17564,0.397
2500000.0,-621.3101196289062,0.7813333333333333,0.872,0.17006,0.341
2550000.0,-592.6824951171875,0.7453333333333333,0.842,0.16894,0.412
